Gas_Price_EUR_MWh,Carbon_Tax_EUR_tCO2,Spot_Volatility,Baseline_Cost_EUR,Optimized_Cost_EUR,Daily_Savings_EUR,Savings_Percent,Savings_EUR_per_Ton,CO2_Reduction_Tons,Annualized_Savings_EUR
35.0,110.0,0.8,159627.41,154596.06,5031.35,3.15,4.59,38.12,1836442.22
35.0,110.0,1.0,159627.41,154700.73,4926.69,3.09,4.5,31.01,1798240.91
35.0,110.0,1.2,159627.41,154690.81,4936.61,3.09,4.5,31.01,1801860.91
35.0,110.0,1.5,159627.41,154583.21,5044.2,3.16,4.6,26.11,1841134.02
35.0,140.0,0.8,176195.94,169923.19,6272.74,3.56,5.72,42.82,2289551.01
35.0,140.0,1.0,176195.94,170261.9,5934.03,3.37,5.41,35.73,2165922.37
35.0,140.0,1.2,176195.94,170329.03,5866.91,3.33,5.35,31.01,2141421.17
35.0,140.0,1.5,176195.94,170308.58,5887.36,3.34,5.37,28.61,2148885.89
40.0,50.0,0.8,139364.92,134476.46,4888.46,3.51,4.46,38.12,1784288.38
40.0,50.0,1.0,139364.92,134554.46,4810.46,3.45,4.39,31.01,1755816.8
40.0,50.0,1.2,139364.92,134544.42,4820.5,3.46,4.4,31.01,1759483.81
40.0,50.0,1.5,139364.92,134418.49,4946.43,3.55,4.51,26.11,1805448.73
40.0,70.0,0.8,150410.6,144726.56,5684.04,3.78,5.19,42.82,2074674.93
40.0,70.0,1.0,150410.6,144947.28,5463.33,3.63,4.99,33.42,1994114.08
40.0,70.0,1.2,150410.6,144969.96,5440.64,3.62,4.96,31.01,1985834.56
40.0,70.0,1.5,150410.6,144916.47,5494.13,3.65,5.01,28.61,2005359.02
40.0,85.0,0.8,158694.86,152367.9,6326.97,3.99,5.77,45.28,2309343.39
40.0,85.0,1.0,158694.86,152713.16,5981.71,3.77,5.46,38.12,2183323.86
40.0,85.0,1.2,158694.86,152789.12,5905.75,3.72,5.39,31.01,2155597.62
40.0,85.0,1.5,158694.86,152771.58,5923.28,3.73,5.4,28.61,2161997.88
40.0,110.0,0.8,172501.97,165022.7,7479.27,4.34,6.82,47.68,2729933.22
40.0,110.0,1.0,172501.97,165540.09,6961.88,4.04,6.35,40.4,2541084.45
40.0,110.0,1.2,172501.97,165768.99,6732.97,3.9,6.14,33.42,2457534.54
40.0,110.0,1.5,172501.97,165805.98,6695.99,3.88,6.11,31.01,2444036.56
40.0,140.0,0.8,189070.49,179767.09,9303.39,4.92,8.49,85.62,3395739.14
40.0,140.0,1.0,189070.49,180805.39,8265.1,4.37,7.54,45.28,3016760.87
40.0,140.0,1.2,189070.49,181229.48,7841.01,4.15,7.15,40.4,2861969.67
40.0,140.0,1.5,189070.49,181435.67,7634.82,4.04,6.97,33.42,2786708.11
50.0,50.0,0.8,165114.03,153374.9,11739.13,7.11,10.71,121.54,4284781.59
50.0,50.0,1.0,165114.03,155806.67,9307.36,5.64,8.49,47.68,3397187.43
50.0,50.0,1.2,165114.03,156342.02,8772.01,5.31,8.0,42.82,3201784.71
50.0,50.0,1.5,165114.03,156726.93,8387.09,5.08,7.65,33.42,3061289.21
50.0,70.0,0.8,176159.71,161760.91,14398.8,8.17,13.14,145.36,5255560.84
50.0,70.0,1.0,176159.71,165798.43,10361.28,5.88,9.45,59.47,3781865.45
50.0,70.0,1.2,176159.71,166522.34,9637.37,5.47,8.79,45.28,3517641.2
50.0,70.0,1.5,176159.71,167063.4,9096.31,5.16,8.3,38.12,3320153.34
50.0,85.0,0.8,184443.97,167821.09,16622.88,9.01,15.17,150.21,6067351.63
50.0,85.0,1.0,184443.97,173093.54,11350.43,6.15,10.36,76.29,4142908.0
50.0,85.0,1.2,184443.97,174127.32,10316.65,5.59,9.41,45.28,3765576.23
50.0,85.0,1.5,184443.97,174775.93,9668.04,5.24,8.82,38.12,3528834.25
50.0,110.0,0.8,198251.07,177820.56,20430.51,10.31,18.64,154.98,7457136.57
50.0,110.0,1.0,198251.07,184357.85,13893.22,7.01,12.68,119.13,5071024.93
50.0,110.0,1.2,198251.07,186756.32,11494.76,5.8,10.49,50.06,4195586.69
50.0,110.0,1.5,198251.07,187564.66,10686.41,5.39,9.75,42.82,3900539.44
50.0,140.0,0.8,214819.6,189593.3,25226.3,11.74,23.02,164.44,9207598.51
50.0,140.0,1.0,214819.6,197039.97,17779.63,8.28,16.22,145.36,6489563.99
50.0,140.0,1.2,214819.6,201581.62,13237.97,6.16,12.08,69.03,4831859.37
50.0,140.0,1.5,214819.6,202841.09,11978.51,5.58,10.93,45.28,4372154.91
60.0,50.0,0.8,190863.14,161848.63,29014.51,15.2,26.48,169.09,10590295.42
60.0,50.0,1.0,190863.14,169746.02,21117.12,11.06,19.27,150.21,7707748.36
60.0,50.0,1.2,190863.14,175635.17,15227.97,7.98,13.9,104.73,5558209.19
60.0,50.0,1.5,190863.14,177865.5,12997.64,6.81,11.86,45.28,4744137.69
60.0,70.0,0.8,201908.82,169415.65,32493.17,16.09,29.65,179.02,11860006.12
60.0,70.0,1.0,201908.82,177764.97,24143.84,11.96,22.03,154.98,8812503.01
60.0,70.0,1.2,201908.82,184361.22,17547.6,8.69,16.01,121.54,6404873.47
60.0,70.0,1.5,201908.82,187971.97,13936.85,6.9,12.72,47.68,5086949.14
60.0,85.0,0.8,210193.08,174967.73,35225.35,16.76,32.14,183.7,12857253.55
60.0,85.0,1.0,210193.08,183719.69,26473.39,12.59,24.16,157.28,9662788.35
60.0,85.0,1.2,210193.08,190736.76,19456.31,9.26,17.75,131.02,7101554.78
60.0,85.0,1.5,210193.08,195520.49,14672.59,6.98,13.39,52.31,5355496.48
60.0,110.0,0.8,224000.18,184096.71,39903.47,17.81,36.41,188.43,14564765.04
60.0,110.0,1.0,224000.18,193535.53,30464.65,13.6,27.8,164.44,11119596.72
60.0,110.0,1.2,224000.18,201005.9,22994.28,10.27,20.98,147.81,8392911.3
60.0,110.0,1.5,224000.18,207871.98,16128.2,7.2,14.72,64.22,5886793.98
60.0,140.0,0.8,240568.7,194895.95,45672.75,18.99,41.68,193.31,16670555.19
60.0,140.0,1.0,240568.7,205083.98,35484.72,14.75,32.38,169.09,12951923.06
60.0,140.0,1.2,240568.7,213081.07,27487.63,11.43,25.08,150.21,10032985.95
60.0,140.0,1.5,240568.7,222010.94,18557.76,7.71,16.93,97.46,6773582.99
