Timestamp,Spot_Price_EUR_MWh,Electrical_Demand_MW,Thermal_Demand_MWt,District_Heating_Capacity_MWt
2026-07-27 15:30:00,38.6,43.57,57.72,28.29
2026-07-27 15:45:00,45.32,45.79,59.27,28.96
2026-07-27 16:00:00,59.18,43.83,61.9,28.19
2026-07-27 16:15:00,66.25,45.94,58.94,27.08
2026-07-27 16:30:00,64.96,46.39,60.67,26.9
2026-07-27 16:45:00,73.74,44.02,61.16,25.81
2026-07-27 17:00:00,76.22,46.16,58.61,26.28
2026-07-27 17:15:00,78.29,45.5,59.91,25.74
2026-07-27 17:30:00,89.76,45.99,55.14,25.91
2026-07-27 17:45:00,103.37,47.28,58.46,24.67
2026-07-27 18:00:00,107.27,44.71,59.62,25.42
2026-07-27 18:15:00,124.67,44.1,58.13,25.9
2026-07-27 18:30:00,118.99,43.93,62.45,24.26
2026-07-27 18:45:00,142.89,44.02,57.85,24.35
2026-07-27 19:00:00,148.15,44.91,59.34,24.26
2026-07-27 19:15:00,151.95,45.41,60.2,23.07
2026-07-27 19:30:00,155.37,45.33,62.16,23.27
2026-07-27 19:45:00,145.19,45.99,57.85,22.8
2026-07-27 20:00:00,146.93,45.02,61.74,22.58
2026-07-27 20:15:00,141.04,46.74,60.02,21.6
2026-07-27 20:30:00,135.4,44.68,58.53,21.98
2026-07-27 20:45:00,116.39,48.26,60.69,22.1
2026-07-27 21:00:00,104.28,45.75,60.3,22.63
2026-07-27 21:15:00,95.42,43.97,59.1,22.01
2026-07-27 21:30:00,92.39,43.71,60.1,22.76
2026-07-27 21:45:00,82.96,45.58,59.42,20.23
2026-07-27 22:00:00,74.09,44.73,60.17,21.37
2026-07-27 22:15:00,74.29,45.86,60.99,20.66
2026-07-27 22:30:00,69.87,45.57,62.38,22.13
2026-07-27 22:45:00,71.54,44.91,58.14,19.62
2026-07-27 23:00:00,63.71,43.98,63.2,19.5
2026-07-27 23:15:00,64.52,43.18,57.07,19.62
2026-07-27 23:30:00,63.87,44.46,59.77,18.34
2026-07-27 23:45:00,59.36,46.03,60.88,19.59
